INFO: December 03, 2018 [18:34:57] 4.0.13537 Core Profile Forward-Compatible Context 24.20.13001.1010
INFO: December 03, 2018 [18:34:59] FPS: 1849, TICKS: 50
INFO: December 03, 2018 [18:35:00] FPS: 2532, TICKS: 59
INFO: December 03, 2018 [18:35:01] FPS: 2481, TICKS: 60
INFO: December 03, 2018 [18:35:02] FPS: 2527, TICKS: 59
INFO: December 03, 2018 [18:35:03] FPS: 2480, TICKS: 59
INFO: December 03, 2018 [18:35:04] FPS: 2536, TICKS: 59
INFO: December 03, 2018 [18:35:05] FPS: 2537, TICKS: 60
INFO: December 03, 2018 [18:35:06] FPS: 2477, TICKS: 59
INFO: December 03, 2018 [18:35:07] FPS: 2415, TICKS: 59
INFO: December 03, 2018 [18:35:08] FPS: 2544, TICKS: 59
INFO: December 03, 2018 [18:35:09] FPS: 2497, TICKS: 60
INFO: December 03, 2018 [18:35:10] FPS: 2514, TICKS: 59
INFO: December 03, 2018 [18:35:11] FPS: 2505, TICKS: 59
INFO: December 03, 2018 [18:35:12] FPS: 2492, TICKS: 59
INFO: December 03, 2018 [18:35:13] FPS: 2496, TICKS: 60
INFO: December 03, 2018 [18:35:14] FPS: 2526, TICKS: 59
INFO: December 03, 2018 [18:35:15] FPS: 2566, TICKS: 59
INFO: December 03, 2018 [18:35:16] FPS: 2586, TICKS: 60
INFO: December 03, 2018 [18:35:17] FPS: 2577, TICKS: 59
INFO: December 03, 2018 [18:35:18] FPS: 2543, TICKS: 59
INFO: December 03, 2018 [18:35:19] FPS: 2534, TICKS: 59
INFO: December 03, 2018 [18:35:20] FPS: 2495, TICKS: 60
INFO: December 03, 2018 [18:35:21] FPS: 2511, TICKS: 59
INFO: December 03, 2018 [18:35:22] FPS: 2492, TICKS: 59
INFO: December 03, 2018 [18:35:23] FPS: 2556, TICKS: 60
INFO: December 03, 2018 [18:35:24] FPS: 2539, TICKS: 59
INFO: December 03, 2018 [18:35:25] FPS: 2507, TICKS: 59
INFO: December 03, 2018 [18:35:26] FPS: 2557, TICKS: 59
INFO: December 03, 2018 [18:35:27] FPS: 2623, TICKS: 60
INFO: December 03, 2018 [18:35:28] FPS: 2627, TICKS: 59
INFO: December 03, 2018 [18:35:29] FPS: 2624, TICKS: 60
INFO: December 03, 2018 [18:35:30] FPS: 2627, TICKS: 59
INFO: December 03, 2018 [18:35:31] FPS: 2566, TICKS: 59
INFO: December 03, 2018 [18:35:32] FPS: 2632, TICKS: 60
INFO: December 03, 2018 [18:35:33] FPS: 2625, TICKS: 59
INFO: December 03, 2018 [18:35:34] FPS: 2631, TICKS: 60
INFO: December 03, 2018 [18:35:35] FPS: 2589, TICKS: 59
INFO: December 03, 2018 [18:35:36] FPS: 2597, TICKS: 59
INFO: December 03, 2018 [18:35:37] FPS: 2561, TICKS: 60
INFO: December 03, 2018 [18:35:38] FPS: 2532, TICKS: 59
INFO: December 03, 2018 [18:35:39] FPS: 2598, TICKS: 59
INFO: December 03, 2018 [18:35:40] FPS: 2581, TICKS: 59
INFO: December 03, 2018 [18:35:41] FPS: 2614, TICKS: 60
INFO: December 03, 2018 [18:35:42] FPS: 2614, TICKS: 59
INFO: December 03, 2018 [18:35:43] FPS: 2604, TICKS: 59
INFO: December 03, 2018 [18:35:44] FPS: 2609, TICKS: 59
INFO: December 03, 2018 [18:35:45] FPS: 2631, TICKS: 60
INFO: December 03, 2018 [18:35:46] FPS: 2619, TICKS: 59
INFO: December 03, 2018 [18:35:47] FPS: 2604, TICKS: 59
INFO: December 03, 2018 [18:35:48] FPS: 2580, TICKS: 59
INFO: December 03, 2018 [18:35:49] FPS: 2586, TICKS: 60
INFO: December 03, 2018 [18:35:50] FPS: 2532, TICKS: 59
INFO: December 03, 2018 [18:35:51] FPS: 2475, TICKS: 59
INFO: December 03, 2018 [18:35:52] FPS: 2526, TICKS: 60
INFO: December 03, 2018 [18:35:53] FPS: 2485, TICKS: 59
INFO: December 03, 2018 [18:35:54] FPS: 2491, TICKS: 59
INFO: December 03, 2018 [18:35:55] FPS: 2498, TICKS: 59
INFO: December 03, 2018 [18:35:56] FPS: 2541, TICKS: 60
INFO: December 03, 2018 [18:35:57] FPS: 2532, TICKS: 59
INFO: December 03, 2018 [18:35:58] FPS: 2529, TICKS: 59
