INFO: November 20, 2018 [15:00:07] 4.0.0 NVIDIA 388.13
INFO: November 20, 2018 [15:00:08] FPS: 3763, TICKS: 55
INFO: November 20, 2018 [15:00:09] FPS: 4646, TICKS: 60
INFO: November 20, 2018 [15:00:10] FPS: 4598, TICKS: 59
INFO: November 20, 2018 [15:00:11] FPS: 4619, TICKS: 60
INFO: November 20, 2018 [15:00:12] FPS: 4694, TICKS: 59
INFO: November 20, 2018 [15:00:13] FPS: 4825, TICKS: 60
INFO: November 20, 2018 [15:00:14] FPS: 4714, TICKS: 59
INFO: November 20, 2018 [15:00:15] FPS: 4652, TICKS: 60
INFO: November 20, 2018 [15:00:16] FPS: 4589, TICKS: 59
INFO: November 20, 2018 [15:00:17] FPS: 4675, TICKS: 60
INFO: November 20, 2018 [15:00:18] FPS: 4667, TICKS: 60
INFO: November 20, 2018 [15:00:19] FPS: 4635, TICKS: 59
INFO: November 20, 2018 [15:00:20] FPS: 4568, TICKS: 60
INFO: November 20, 2018 [15:00:21] FPS: 4639, TICKS: 60
INFO: November 20, 2018 [15:00:22] FPS: 4667, TICKS: 59
INFO: November 20, 2018 [15:00:23] FPS: 4668, TICKS: 60
INFO: November 20, 2018 [15:00:24] FPS: 4655, TICKS: 59
INFO: November 20, 2018 [15:00:25] FPS: 4679, TICKS: 60
INFO: November 20, 2018 [15:00:26] FPS: 4688, TICKS: 59
INFO: November 20, 2018 [15:00:27] FPS: 4632, TICKS: 60
INFO: November 20, 2018 [15:00:28] FPS: 4605, TICKS: 60
INFO: November 20, 2018 [15:00:29] FPS: 4545, TICKS: 59
INFO: November 20, 2018 [15:00:30] FPS: 4571, TICKS: 60
