INFO: December 25, 2018 [23:13:15] 4.0.0 NVIDIA 388.13
INFO: December 25, 2018 [23:13:17] FPS: 2569, TICKS: 51
INFO: December 25, 2018 [23:13:18] FPS: 3278, TICKS: 60
INFO: December 25, 2018 [23:13:19] FPS: 3274, TICKS: 59
INFO: December 25, 2018 [23:13:20] FPS: 3303, TICKS: 60
INFO: December 25, 2018 [23:13:21] FPS: 3360, TICKS: 59
INFO: December 25, 2018 [23:13:22] FPS: 3325, TICKS: 60
INFO: December 25, 2018 [23:13:23] FPS: 3300, TICKS: 59
INFO: December 25, 2018 [23:13:24] FPS: 3370, TICKS: 60
INFO: December 25, 2018 [23:13:25] FPS: 3326, TICKS: 59
INFO: December 25, 2018 [23:13:26] FPS: 3319, TICKS: 59
INFO: December 25, 2018 [23:13:27] FPS: 3333, TICKS: 60
INFO: December 25, 2018 [23:13:28] FPS: 3380, TICKS: 59
INFO: December 25, 2018 [23:13:29] FPS: 3372, TICKS: 60
INFO: December 25, 2018 [23:13:30] FPS: 3398, TICKS: 59
INFO: December 25, 2018 [23:13:31] FPS: 3395, TICKS: 60
INFO: December 25, 2018 [23:13:32] FPS: 3392, TICKS: 59
INFO: December 25, 2018 [23:13:33] FPS: 3398, TICKS: 60
INFO: December 25, 2018 [23:13:34] FPS: 3386, TICKS: 59
INFO: December 25, 2018 [23:13:35] FPS: 3399, TICKS: 59
INFO: December 25, 2018 [23:13:36] FPS: 3401, TICKS: 60
INFO: December 25, 2018 [23:13:37] FPS: 3368, TICKS: 60
INFO: December 25, 2018 [23:13:38] FPS: 3403, TICKS: 59
INFO: December 25, 2018 [23:13:39] FPS: 3402, TICKS: 60
INFO: December 25, 2018 [23:13:40] FPS: 3367, TICKS: 59
INFO: December 25, 2018 [23:13:41] FPS: 3401, TICKS: 60
INFO: December 25, 2018 [23:13:42] FPS: 3404, TICKS: 59
INFO: December 25, 2018 [23:13:43] FPS: 3351, TICKS: 60
INFO: December 25, 2018 [23:13:44] FPS: 3389, TICKS: 59
INFO: December 25, 2018 [23:13:45] FPS: 3414, TICKS: 60
INFO: December 25, 2018 [23:13:46] FPS: 3275, TICKS: 58
INFO: December 25, 2018 [23:13:47] FPS: 3379, TICKS: 59
