INFO: November 26, 2018 [16:47:58] 4.0.13537 Core Profile Forward-Compatible Context 24.20.13001.1010
INFO: November 26, 2018 [16:48:00] FPS: 1916, TICKS: 51
INFO: November 26, 2018 [16:48:01] FPS: 2605, TICKS: 59
INFO: November 26, 2018 [16:48:02] FPS: 2603, TICKS: 59
INFO: November 26, 2018 [16:48:03] FPS: 2584, TICKS: 60
INFO: November 26, 2018 [16:48:04] FPS: 2579, TICKS: 59
INFO: November 26, 2018 [16:48:05] FPS: 2680, TICKS: 59
INFO: November 26, 2018 [16:48:06] FPS: 2642, TICKS: 59
INFO: November 26, 2018 [16:48:07] FPS: 2671, TICKS: 60
INFO: November 26, 2018 [16:48:08] FPS: 2683, TICKS: 59
INFO: November 26, 2018 [16:48:09] FPS: 2625, TICKS: 59
INFO: November 26, 2018 [16:48:10] FPS: 2344, TICKS: 56
INFO: November 26, 2018 [16:48:11] FPS: 2558, TICKS: 59
INFO: November 26, 2018 [16:48:12] FPS: 2551, TICKS: 60
INFO: November 26, 2018 [16:48:13] FPS: 2560, TICKS: 59
INFO: November 26, 2018 [16:48:14] FPS: 2558, TICKS: 59
INFO: November 26, 2018 [16:48:15] FPS: 2549, TICKS: 60
INFO: November 26, 2018 [16:48:16] FPS: 2525, TICKS: 59
INFO: November 26, 2018 [16:48:17] FPS: 2497, TICKS: 58
INFO: November 26, 2018 [16:48:18] FPS: 2650, TICKS: 60
INFO: November 26, 2018 [16:48:19] FPS: 2638, TICKS: 59
INFO: November 26, 2018 [16:48:20] FPS: 2655, TICKS: 59
INFO: November 26, 2018 [16:48:21] FPS: 2640, TICKS: 59
INFO: November 26, 2018 [16:48:22] FPS: 2654, TICKS: 59
INFO: November 26, 2018 [16:48:23] FPS: 2683, TICKS: 60
INFO: November 26, 2018 [16:48:24] FPS: 2685, TICKS: 59
INFO: November 26, 2018 [16:48:25] FPS: 2665, TICKS: 60
INFO: November 26, 2018 [16:48:26] FPS: 2652, TICKS: 59
INFO: November 26, 2018 [16:48:27] FPS: 2599, TICKS: 59
INFO: November 26, 2018 [16:48:28] FPS: 2527, TICKS: 59
INFO: November 26, 2018 [16:48:29] FPS: 2526, TICKS: 59
INFO: November 26, 2018 [16:48:30] FPS: 2519, TICKS: 60
INFO: November 26, 2018 [16:48:31] FPS: 2522, TICKS: 59
INFO: November 26, 2018 [16:48:32] FPS: 2542, TICKS: 59
INFO: November 26, 2018 [16:48:33] FPS: 2531, TICKS: 59
INFO: November 26, 2018 [16:48:34] FPS: 2552, TICKS: 60
INFO: November 26, 2018 [16:48:35] FPS: 2567, TICKS: 59
INFO: November 26, 2018 [16:48:36] FPS: 2560, TICKS: 59
INFO: November 26, 2018 [16:48:37] FPS: 2501, TICKS: 60
INFO: November 26, 2018 [16:48:38] FPS: 2480, TICKS: 59
INFO: November 26, 2018 [16:48:39] FPS: 2443, TICKS: 59
INFO: November 26, 2018 [16:48:40] FPS: 2648, TICKS: 60
INFO: November 26, 2018 [16:48:41] FPS: 2696, TICKS: 59
INFO: November 26, 2018 [16:48:42] FPS: 2666, TICKS: 60
INFO: November 26, 2018 [16:48:43] FPS: 2658, TICKS: 59
INFO: November 26, 2018 [16:48:44] FPS: 2672, TICKS: 59
INFO: November 26, 2018 [16:48:45] FPS: 2675, TICKS: 60
INFO: November 26, 2018 [16:48:46] FPS: 2676, TICKS: 59
INFO: November 26, 2018 [16:48:47] FPS: 2669, TICKS: 59
INFO: November 26, 2018 [16:48:48] FPS: 2624, TICKS: 60
INFO: November 26, 2018 [16:48:49] FPS: 2588, TICKS: 59
INFO: November 26, 2018 [16:48:50] FPS: 2643, TICKS: 59
INFO: November 26, 2018 [16:48:51] FPS: 2705, TICKS: 59
INFO: November 26, 2018 [16:48:52] FPS: 2653, TICKS: 59
INFO: November 26, 2018 [16:48:53] FPS: 2603, TICKS: 59
INFO: November 26, 2018 [16:48:54] FPS: 2589, TICKS: 59
INFO: November 26, 2018 [16:48:55] FPS: 2593, TICKS: 60
INFO: November 26, 2018 [16:48:56] FPS: 2568, TICKS: 59
INFO: November 26, 2018 [16:48:57] FPS: 2538, TICKS: 59
INFO: November 26, 2018 [16:48:58] FPS: 2614, TICKS: 59
INFO: November 26, 2018 [16:48:59] FPS: 2612, TICKS: 60
INFO: November 26, 2018 [16:49:00] FPS: 2604, TICKS: 59
INFO: November 26, 2018 [16:49:01] FPS: 2567, TICKS: 59
INFO: November 26, 2018 [16:49:02] FPS: 2659, TICKS: 59
INFO: November 26, 2018 [16:49:03] FPS: 2641, TICKS: 60
INFO: November 26, 2018 [16:49:04] FPS: 2549, TICKS: 59
INFO: November 26, 2018 [16:49:05] FPS: 2586, TICKS: 59
INFO: November 26, 2018 [16:49:06] FPS: 2585, TICKS: 59
INFO: November 26, 2018 [16:49:07] FPS: 2583, TICKS: 59
INFO: November 26, 2018 [16:49:08] FPS: 2555, TICKS: 60
INFO: November 26, 2018 [16:49:09] FPS: 2532, TICKS: 59
